id,year
http://www.jstor.org/stable/1519771,2003
http://www.jstor.org/stable/2086827,1948
http://www.jstor.org/stable/1519762,2003
http://www.jstor.org/stable/2091416,1964
http://www.jstor.org/stable/2091566,1965
http://www.jstor.org/stable/48588672,2018
http://www.jstor.org/stable/2090205,1961
http://www.jstor.org/stable/2089577,1959
http://www.jstor.org/stable/2657343,1997
http://www.jstor.org/stable/2090409,1962
http://www.jstor.org/stable/2096457,1996
http://www.jstor.org/stable/2095063,1981
http://www.jstor.org/stable/48602117,2019
http://www.jstor.org/stable/26426367,2017
http://www.jstor.org/stable/2091564,1965
http://www.jstor.org/stable/25472554,2008
http://www.jstor.org/stable/2095352,1987
http://www.jstor.org/stable/2094451,1975
http://www.jstor.org/stable/2091421,1964
http://www.jstor.org/stable/2090069,1963
http://www.jstor.org/stable/2657502,1998
http://www.jstor.org/stable/2096222,1993
http://www.jstor.org/stable/2094547,1978
http://www.jstor.org/stable/2088905,1958
http://www.jstor.org/stable/2085638,1945
http://www.jstor.org/stable/2657486,1998
http://www.jstor.org/stable/2657462,2000
http://www.jstor.org/stable/2084252,1938
http://www.jstor.org/stable/25472516,2008
http://www.jstor.org/stable/2095660,1989
http://www.jstor.org/stable/2657327,1998
http://www.jstor.org/stable/2091479,1964
http://www.jstor.org/stable/2091030,1967
http://www.jstor.org/stable/2085726,1943
http://www.jstor.org/stable/25472527,2008
http://www.jstor.org/stable/2095292,1987
http://www.jstor.org/stable/2087260,1946
http://www.jstor.org/stable/2090772,1966
http://www.jstor.org/stable/2657295,2000
http://www.jstor.org/stable/2095014,1980
http://www.jstor.org/stable/2096241,1992
http://www.jstor.org/stable/2096308,1996
http://www.jstor.org/stable/2094879,1979
http://www.jstor.org/stable/2088473,1957
http://www.jstor.org/stable/2096331,1996
http://www.jstor.org/stable/27736069,2009
http://www.jstor.org/stable/2657288,2000
http://www.jstor.org/stable/2092501,1969
http://www.jstor.org/stable/2657431,1997
http://www.jstor.org/stable/30038985,2006
http://www.jstor.org/stable/2092679,1968
http://www.jstor.org/stable/2089800,1962
http://www.jstor.org/stable/2089977,1960
http://www.jstor.org/stable/1519772,2003
http://www.jstor.org/stable/26426535,2018
http://www.jstor.org/stable/43187506,2013
http://www.jstor.org/stable/2094731,1976
http://www.jstor.org/stable/2096073,1993
http://www.jstor.org/stable/1519761,2003
http://www.jstor.org/stable/2093852,1970
http://www.jstor.org/stable/2096265,1991
http://www.jstor.org/stable/41723058,2012
http://www.jstor.org/stable/25472515,2008
http://www.jstor.org/stable/2095788,1989
http://www.jstor.org/stable/2088575,1959
http://www.jstor.org/stable/2657339,1998
http://www.jstor.org/stable/2094944,1981
http://www.jstor.org/stable/2086080,1944
http://www.jstor.org/stable/2095731,1988
http://www.jstor.org/stable/20799478,2010
http://www.jstor.org/stable/2091480,1964
http://www.jstor.org/stable/3088893,2002
http://www.jstor.org/stable/2094743,1976
http://www.jstor.org/stable/2087208,1949
http://www.jstor.org/stable/2088469,1957
http://www.jstor.org/stable/2088223,1952
http://www.jstor.org/stable/2087308,1950
http://www.jstor.org/stable/2096256,1991
http://www.jstor.org/stable/2095479,1986
http://www.jstor.org/stable/2094605,1977
http://www.jstor.org/stable/2085446,1943
http://www.jstor.org/stable/2087971,1951
http://www.jstor.org/stable/2094342,1975
http://www.jstor.org/stable/2086253,1942
http://www.jstor.org/stable/2083973,1936
http://www.jstor.org/stable/2088361,1952
http://www.jstor.org/stable/2087119,1946
http://www.jstor.org/stable/2085643,1945
http://www.jstor.org/stable/2087608,1951
http://www.jstor.org/stable/2084211,1939
http://www.jstor.org/stable/2096411,1996
http://www.jstor.org/stable/2085547,1941
http://www.jstor.org/stable/2095353,1987
http://www.jstor.org/stable/2088514,1956
http://www.jstor.org/stable/2094926,1983
http://www.jstor.org/stable/2086447,1949
http://www.jstor.org/stable/2092625,1960
http://www.jstor.org/stable/2088218,1952
http://www.jstor.org/stable/2094573,1977
http://www.jstor.org/stable/27736061,2009
http://www.jstor.org/stable/1519760,2003
http://www.jstor.org/stable/1519736,2003
http://www.jstor.org/stable/2657306,1997
http://www.jstor.org/stable/2095753,1990
http://www.jstor.org/stable/2094553,1977
http://www.jstor.org/stable/2095792,1989
http://www.jstor.org/stable/2657473,1998
http://www.jstor.org/stable/2093204,1970
http://www.jstor.org/stable/2095796,1989
http://www.jstor.org/stable/2094586,1979
http://www.jstor.org/stable/2095503,1985
http://www.jstor.org/stable/2087068,1946
http://www.jstor.org/stable/2095280,1984
http://www.jstor.org/stable/2084615,1936
http://www.jstor.org/stable/2087069,1946
http://www.jstor.org/stable/2095522,1986
http://www.jstor.org/stable/2094469,1976
http://www.jstor.org/stable/24756701,2015
http://www.jstor.org/stable/2657418,2001
http://www.jstor.org/stable/2087456,1954
http://www.jstor.org/stable/2096201,1992
http://www.jstor.org/stable/2093300,1970
http://www.jstor.org/stable/2094910,1980
http://www.jstor.org/stable/2657482,1998
http://www.jstor.org/stable/2095948,1993
http://www.jstor.org/stable/2657355,1997
http://www.jstor.org/stable/3088891,2002
http://www.jstor.org/stable/25782170,2010
