id,year
http://www.jstor.org/stable/30038999,2006
http://www.jstor.org/stable/43187537,2014
http://www.jstor.org/stable/2095039,1982
http://www.jstor.org/stable/2095874,1989
http://www.jstor.org/stable/4145348,2005
http://www.jstor.org/stable/4145390,2005
http://www.jstor.org/stable/2096104,1991
http://www.jstor.org/stable/2096383,1995
http://www.jstor.org/stable/2086784,1950
http://www.jstor.org/stable/2095266,1981
http://www.jstor.org/stable/4145368,2005
http://www.jstor.org/stable/2083867,1936
http://www.jstor.org/stable/44245507,2017
http://www.jstor.org/stable/2090575,1961
http://www.jstor.org/stable/2095307,1986
http://www.jstor.org/stable/2085586,1945
http://www.jstor.org/stable/2095080,1981
http://www.jstor.org/stable/2093450,1972
http://www.jstor.org/stable/2117747,1989
http://www.jstor.org/stable/2094409,1973
http://www.jstor.org/stable/48588888,2019
http://www.jstor.org/stable/41723061,2012
http://www.jstor.org/stable/2089676,1962
http://www.jstor.org/stable/20799479,2010
http://www.jstor.org/stable/2094371,1976
http://www.jstor.org/stable/2094317,1974
http://www.jstor.org/stable/24756378,2015
http://www.jstor.org/stable/4145393,2005
http://www.jstor.org/stable/2095504,1985
http://www.jstor.org/stable/26426414,2017
http://www.jstor.org/stable/25472545,2008
http://www.jstor.org/stable/2095713,1989
http://www.jstor.org/stable/43188371,2013
http://www.jstor.org/stable/2095844,1988
http://www.jstor.org/stable/2091022,1967
http://www.jstor.org/stable/2094154,1974
http://www.jstor.org/stable/27801521,2010
http://www.jstor.org/stable/2095516,1986
http://www.jstor.org/stable/2093598,1971
http://www.jstor.org/stable/2657343,1997
http://www.jstor.org/stable/2088055,1952
http://www.jstor.org/stable/2094516,1979
http://www.jstor.org/stable/2094996,1982
http://www.jstor.org/stable/2085878,1943
http://www.jstor.org/stable/2086677,1949
http://www.jstor.org/stable/3088945,2002
http://www.jstor.org/stable/30038986,2006
http://www.jstor.org/stable/2085227,1943
http://www.jstor.org/stable/2095823,1988
http://www.jstor.org/stable/3088933,2002
http://www.jstor.org/stable/43187505,2013
http://www.jstor.org/stable/2094921,1983
http://www.jstor.org/stable/2095780,1991
http://www.jstor.org/stable/2657552,1998
http://www.jstor.org/stable/2095122,1980
http://www.jstor.org/stable/48588676,2018
http://www.jstor.org/stable/25472512,2008
http://www.jstor.org/stable/2095691,1988
http://www.jstor.org/stable/26426413,2017
http://www.jstor.org/stable/2657346,1997
http://www.jstor.org/stable/1519765,2003
http://www.jstor.org/stable/30038978,2006
http://www.jstor.org/stable/2094549,1978
http://www.jstor.org/stable/2657375,1999
http://www.jstor.org/stable/4145402,2005
http://www.jstor.org/stable/2657311,1997
http://www.jstor.org/stable/2094893,1980
http://www.jstor.org/stable/20799474,2010
http://www.jstor.org/stable/24756411,2015
http://www.jstor.org/stable/2657374,1999
http://www.jstor.org/stable/2086730,1947
http://www.jstor.org/stable/2095063,1981
